,ID,Subject,Grasp,ADL,Video,StartFrame,EndFrame,OppType,PIP,VirtualFingers,Thumb,Duration,depthStart,depthEnd,SequenceNum,BigCategories,SmallCategories
2802,Grasp02803,subject 5,adducted thumb,cooking,subject_5_gopro_seg_2.mp4,7195,7488,Palm,Power,2-5,Add,9.77,6784,6974,9,pow-prismatic,pow-oblique
2803,Grasp02804,subject 5,adducted thumb,cooking,subject_5_gopro_seg_2.mp4,7562,10147,Palm,Power,2-5,Add,86.17,7022,8881,10,pow-prismatic,pow-oblique
2804,Grasp02805,subject 5,prismatic 2 finger,cooking,subject_5_gopro_seg_2.mp4,10199,10252,Pad,Precision,2-3,Abd,1.77,8923,8959,0,pre-prismatic,pre-prismatic
2805,Grasp02806,subject 5,lateral tripod,cooking,subject_5_gopro_seg_2.mp4,10523,10611,Side,Intermediate,3,Add,2.93,9202,9288,0,int-lateral,int-lateral
2807,Grasp02808,subject 5,adducted thumb,cooking,subject_5_gopro_seg_2.mp4,10753,11175,Palm,Power,2-5,Add,14.07,9424,9829,0,pow-prismatic,pow-oblique
2813,Grasp02814,subject 5,index finger extension,cooking,subject_5_gopro_seg_2.mp4,11886,12749,Palm,Power,3-5,Add,28.77,10457,11281,0,pow-prismatic,pow-oblique
2814,Grasp02815,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_2.mp4,12759,13029,Pad,Precision,2-5,Abd,9.0,11287,11519,0,pre-prismatic,pre-prismatic
2815,Grasp02816,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_2.mp4,13361,13370,Pad,Precision,2-5,Abd,0.3,11821,11828,0,pre-prismatic,pre-prismatic
2816,Grasp02817,subject 5,index finger extension,cooking,subject_5_gopro_seg_2.mp4,13371,13578,Palm,Power,3-5,Add,6.9,11829,12016,1,pow-prismatic,pow-oblique
2820,Grasp02821,subject 5,small diameter,cooking,subject_5_gopro_seg_2.mp4,13912,14043,Palm,Power,2-5,Abd,4.37,12344,12469,0,pow-prismatic,pow-cylindric
2821,Grasp02822,subject 5,light tool,cooking,subject_5_gopro_seg_2.mp4,14455,14525,Palm,Power,2-5,Add,2.33,12856,12916,0,pow-prismatic,pow-oblique
2822,Grasp02823,subject 5,medium wrap,cooking,subject_5_gopro_seg_2.mp4,14530,14813,Palm,Power,2-5,Abd,9.43,12922,13173,1,pow-prismatic,pow-cylindric
2823,Grasp02824,subject 5,lateral,cooking,subject_5_gopro_seg_2.mp4,14839,15188,Side,Intermediate,2-5,Add,11.63,13199,13498,2,int-lateral,int-lateral
2825,Grasp02826,subject 5,lateral,cooking,subject_5_gopro_seg_3.mp4,85,337,Side,Intermediate,2-5,Add,8.4,80,328,1,int-lateral,int-lateral
2827,Grasp02828,subject 5,lateral tripod,cooking,subject_5_gopro_seg_3.mp4,455,513,Side,Intermediate,3,Add,1.93,446,496,0,int-lateral,int-lateral
2828,Grasp02829,subject 5,prismatic 2 finger,cooking,subject_5_gopro_seg_3.mp4,800,822,Pad,Precision,2-3,Abd,0.73,771,793,0,pre-prismatic,pre-prismatic
2829,Grasp02830,subject 5,index finger extension,cooking,subject_5_gopro_seg_3.mp4,827,837,Palm,Power,3-5,Add,0.33,798,802,1,pow-prismatic,pow-oblique
2831,Grasp02832,subject 5,prismatic 2 finger,cooking,subject_5_gopro_seg_3.mp4,1706,1746,Pad,Precision,2-3,Abd,1.33,1645,1682,3,pre-prismatic,pre-prismatic
2832,Grasp02833,subject 5,lateral tripod,cooking,subject_5_gopro_seg_3.mp4,1758,2020,Side,Intermediate,3,Add,8.73,1694,1902,0,int-lateral,int-lateral
2833,Grasp02834,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,2032,2056,Pad,Precision,2-5,Abd,0.8,1912,1936,0,pre-prismatic,pre-prismatic
2835,Grasp02836,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,2591,2643,Pad,Precision,2-5,Abd,1.73,2447,2484,2,pre-prismatic,pre-prismatic
2836,Grasp02837,subject 5,lateral tripod,cooking,subject_5_gopro_seg_3.mp4,2800,2955,Side,Intermediate,3,Add,5.17,2604,2739,0,int-lateral,int-lateral
2837,Grasp02838,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,2965,2988,Pad,Precision,2-5,Abd,0.77,2749,2772,0,pre-prismatic,pre-prismatic
2839,Grasp02840,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,3217,3346,Pad,Precision,2-5,Abd,4.3,2988,3102,2,pre-prismatic,pre-prismatic
2841,Grasp02842,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,3554,3597,Pad,Precision,2-5,Abd,1.43,3298,3336,4,pre-prismatic,pre-prismatic
2842,Grasp02843,subject 5,lateral tripod,cooking,subject_5_gopro_seg_3.mp4,3911,4096,Side,Intermediate,3,Add,6.17,3540,3715,0,int-lateral,int-lateral
2843,Grasp02844,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,4107,4127,Pad,Precision,2-5,Abd,0.67,3726,3746,0,pre-prismatic,pre-prismatic
2845,Grasp02846,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,4785,4840,Pad,Precision,2-5,Abd,1.83,4395,4450,2,pre-prismatic,pre-prismatic
2846,Grasp02847,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,4987,5010,Pad,Precision,2-5,Abd,0.77,4587,4610,0,pre-prismatic,pre-prismatic
2848,Grasp02849,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,5149,5194,Pad,Precision,2-5,Abd,1.5,4736,4753,2,pre-prismatic,pre-prismatic
2849,Grasp02850,subject 5,index finger extension,cooking,subject_5_gopro_seg_3.mp4,5242,5358,Palm,Power,3-5,Add,3.87,4807,4892,0,pow-prismatic,pow-oblique
2851,Grasp02852,subject 5,index finger extension,cooking,subject_5_gopro_seg_3.mp4,5569,5618,Palm,Power,3-5,Add,1.63,5093,5136,2,pow-prismatic,pow-oblique
2852,Grasp02853,subject 5,lateral tripod,cooking,subject_5_gopro_seg_3.mp4,5627,5723,Side,Intermediate,3,Add,3.2,5145,5230,0,int-lateral,int-lateral
2853,Grasp02854,subject 5,precision disk,cooking,subject_5_gopro_seg_3.mp4,5733,5929,Pad,Precision,2-5,Abd,6.53,5240,5386,0,circular,pre-circular
2854,Grasp02855,subject 5,lateral tripod,cooking,subject_5_gopro_seg_3.mp4,5936,6350,Side,Intermediate,3,Add,13.8,5393,5726,0,int-lateral,int-lateral
2855,Grasp02856,subject 5,precision disk,cooking,subject_5_gopro_seg_3.mp4,6358,6430,Pad,Precision,2-5,Abd,2.4,5734,5788,0,circular,pre-circular
2856,Grasp02857,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,6455,6469,Pad,Precision,2-5,Abd,0.47,5807,5821,0,pre-prismatic,pre-prismatic
2857,Grasp02858,subject 5,index finger extension,cooking,subject_5_gopro_seg_3.mp4,6474,6496,Palm,Power,3-5,Add,0.73,5826,5847,1,pow-prismatic,pow-oblique
2859,Grasp02860,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,6920,6959,Pad,Precision,2-5,Abd,1.3,6247,6286,3,pre-prismatic,pre-prismatic
2860,Grasp02861,subject 5,lateral tripod,cooking,subject_5_gopro_seg_3.mp4,7113,7320,Side,Intermediate,3,Add,6.9,6407,6564,0,int-lateral,int-lateral
2861,Grasp02862,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,7358,7379,Pad,Precision,2-5,Abd,0.7,6598,6616,0,pre-prismatic,pre-prismatic
2862,Grasp02863,subject 5,index finger extension,cooking,subject_5_gopro_seg_3.mp4,7380,7464,Palm,Power,3-5,Add,2.8,6617,6699,1,pow-prismatic,pow-oblique
2864,Grasp02865,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,7608,7649,Pad,Precision,2-5,Abd,1.37,6819,6852,3,pre-prismatic,pre-prismatic
2865,Grasp02866,subject 5,index finger extension,cooking,subject_5_gopro_seg_3.mp4,7886,7945,Palm,Power,3-5,Add,1.97,7005,7051,0,pow-prismatic,pow-oblique
2866,Grasp02867,subject 5,lateral tripod,cooking,subject_5_gopro_seg_3.mp4,7973,8220,Side,Intermediate,3,Add,8.23,7079,7273,0,int-lateral,int-lateral
2867,Grasp02868,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,8232,8247,Pad,Precision,2-5,Abd,0.5,7285,7300,0,pre-prismatic,pre-prismatic
2868,Grasp02869,subject 5,index finger extension,cooking,subject_5_gopro_seg_3.mp4,8250,8294,Palm,Power,3-5,Add,1.47,7300,7342,1,pow-prismatic,pow-oblique
2869,Grasp02870,subject 5,lateral tripod,cooking,subject_5_gopro_seg_3.mp4,8317,8437,Side,Intermediate,3,Add,4.0,7365,7475,0,int-lateral,int-lateral
2871,Grasp02872,subject 5,precision disk,cooking,subject_5_gopro_seg_3.mp4,8569,8679,Pad,Precision,2-5,Abd,3.67,7596,7706,0,circular,pre-circular
2873,Grasp02874,subject 5,adducted thumb,cooking,subject_5_gopro_seg_3.mp4,8789,8896,Palm,Power,2-5,Add,3.57,7816,7924,0,pow-prismatic,pow-oblique
2874,Grasp02875,subject 5,power sphere,cooking,subject_5_gopro_seg_3.mp4,9005,9134,Palm,Power,2-5,Abd,4.3,8024,8153,0,circular,pow-circular
2875,Grasp02876,subject 5,power sphere,cooking,subject_5_gopro_seg_3.mp4,9223,9289,Palm,Power,2-5,Abd,2.2,8240,8306,0,circular,pow-circular
2878,Grasp02879,subject 5,power sphere,cooking,subject_5_gopro_seg_3.mp4,9357,9435,Palm,Power,2-5,Abd,2.6,8371,8446,3,circular,pow-circular
2880,Grasp02881,subject 5,large diameter,cooking,subject_5_gopro_seg_3.mp4,9646,9865,Palm,Power,2-5,Abd,7.3,8618,8834,0,pow-prismatic,pow-cylindric
2881,Grasp02882,subject 5,power sphere,cooking,subject_5_gopro_seg_3.mp4,9882,10104,Palm,Power,2-5,Abd,7.4,8849,9067,0,circular,pow-circular
2882,Grasp02883,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,10119,10149,Pad,Precision,2-5,Abd,1.0,9082,9109,0,pre-prismatic,pre-prismatic
2884,Grasp02885,subject 5,small diameter,cooking,subject_5_gopro_seg_3.mp4,10625,10694,Palm,Power,2-5,Abd,2.3,9549,9607,0,pow-prismatic,pow-cylindric
2885,Grasp02886,subject 5,adducted thumb,cooking,subject_5_gopro_seg_3.mp4,10704,10772,Palm,Power,2-5,Add,2.27,9617,9683,0,pow-prismatic,pow-oblique
2889,Grasp02890,subject 5,prismatic 2 finger,cooking,subject_5_gopro_seg_3.mp4,11013,11051,Pad,Precision,2-3,Abd,1.27,9916,9954,0,pre-prismatic,pre-prismatic
2895,Grasp02896,subject 5,lateral tripod,cooking,subject_5_gopro_seg_3.mp4,11911,11971,Side,Intermediate,3,Add,2.0,10776,10832,0,int-lateral,int-lateral
2896,Grasp02897,subject 5,large diameter,cooking,subject_5_gopro_seg_3.mp4,11975,12099,Palm,Power,2-5,Abd,4.13,10836,10942,0,pow-prismatic,pow-cylindric
2899,Grasp02900,subject 5,lateral tripod,cooking,subject_5_gopro_seg_3.mp4,12252,12304,Side,Intermediate,3,Add,1.73,11085,11127,0,int-lateral,int-lateral
2901,Grasp02902,subject 5,sphere 4 finger,cooking,subject_5_gopro_seg_3.mp4,12436,12512,Pad,Power,2,Abd,2.53,11254,11330,0,circular,pow-circular
2902,Grasp02903,subject 5,small diameter,cooking,subject_5_gopro_seg_3.mp4,12528,12549,Palm,Power,2-5,Abd,0.7,11338,11359,0,pow-prismatic,pow-cylindric
2904,Grasp02905,subject 5,prismatic 2 finger,cooking,subject_5_gopro_seg_3.mp4,12760,12849,Pad,Precision,2-3,Abd,2.97,11560,11642,0,pre-prismatic,pre-prismatic
2905,Grasp02906,subject 5,prismatic 3 finger,cooking,subject_5_gopro_seg_3.mp4,12877,12937,Pad,Precision,2-4,Abd,2.0,11666,11726,0,pre-prismatic,pre-prismatic
2906,Grasp02907,subject 5,prismatic 4 finger,cooking,subject_5_gopro_seg_3.mp4,12967,12984,Pad,Precision,2-5,Abd,0.57,11753,11770,0,pre-prismatic,pre-prismatic
2907,Grasp02908,subject 5,adducted thumb,cooking,subject_5_gopro_seg_3.mp4,12985,13170,Palm,Power,2-5,Add,6.17,11771,11922,1,pow-prismatic,pow-oblique
2908,Grasp02909,subject 5,adducted thumb,cooking,subject_5_gopro_seg_3.mp4,13272,13398,Palm,Power,2-5,Add,4.2,12011,12125,0,pow-prismatic,pow-oblique
2909,Grasp02910,subject 5,small diameter,cooking,subject_5_gopro_seg_3.mp4,13413,13647,Palm,Power,2-5,Abd,7.8,12140,12350,0,pow-prismatic,pow-cylindric
2912,Grasp02913,subject 5,prismatic 2 finger,cooking,subject_5_gopro_seg_3.mp4,15091,15185,Pad,Precision,2-3,Abd,3.13,13687,13782,0,pre-prismatic,pre-prismatic
2914,Grasp02915,subject 5,adducted thumb,housekeeping,subject_5_gopro_seg_4.mp4,298,330,Palm,Power,2-5,Add,1.07,195,227,0,pow-prismatic,pow-oblique
2916,Grasp02917,subject 5,small diameter,housekeeping,subject_5_gopro_seg_4.mp4,416,447,Palm,Power,2-5,Abd,1.03,313,343,0,pow-prismatic,pow-cylindric
2918,Grasp02919,subject 5,prismatic 3 finger,housekeeping,subject_5_gopro_seg_4.mp4,545,570,Pad,Precision,2-4,Abd,0.83,441,466,1,pre-prismatic,pre-prismatic
2919,Grasp02920,subject 5,small diameter,housekeeping,subject_5_gopro_seg_4.mp4,725,741,Palm,Power,2-5,Abd,0.53,621,629,0,pow-prismatic,pow-cylindric
2920,Grasp02921,subject 5,adducted thumb,housekeeping,subject_5_gopro_seg_4.mp4,742,784,Palm,Power,2-5,Add,1.4,630,672,1,pow-prismatic,pow-oblique
2921,Grasp02922,subject 5,prismatic 2 finger,housekeeping,subject_5_gopro_seg_4.mp4,802,848,Pad,Precision,2-3,Abd,1.53,690,736,0,pre-prismatic,pre-prismatic
2922,Grasp02923,subject 5,adducted thumb,housekeeping,subject_5_gopro_seg_4.mp4,922,1083,Palm,Power,2-5,Add,5.37,806,967,0,pow-prismatic,pow-oblique
2923,Grasp02924,subject 5,prismatic 4 finger,housekeeping,subject_5_gopro_seg_4.mp4,1219,1257,Pad,Precision,2-5,Abd,1.27,1097,1135,0,pre-prismatic,pre-prismatic
2924,Grasp02925,subject 5,sphere 4 finger,housekeeping,subject_5_gopro_seg_4.mp4,1267,1365,Pad,Power,2,Abd,3.27,1145,1243,0,circular,pow-circular
2925,Grasp02926,subject 5,precision disk,housekeeping,subject_5_gopro_seg_4.mp4,1480,1540,Pad,Precision,2-5,Abd,2.0,1358,1413,0,circular,pre-circular
2926,Grasp02927,subject 5,precision disk,housekeeping,subject_5_gopro_seg_4.mp4,1570,1653,Pad,Precision,2-5,Abd,2.77,1443,1526,0,circular,pre-circular
2927,Grasp02928,subject 5,prismatic 4 finger,housekeeping,subject_5_gopro_seg_4.mp4,1721,1806,Pad,Precision,2-5,Abd,2.83,1590,1674,0,pre-prismatic,pre-prismatic
2928,Grasp02929,subject 5,adducted thumb,housekeeping,subject_5_gopro_seg_4.mp4,1933,2013,Palm,Power,2-5,Add,2.67,1801,1882,0,pow-prismatic,pow-oblique
2929,Grasp02930,subject 5,small diameter,housekeeping,subject_5_gopro_seg_4.mp4,2026,2042,Palm,Power,2-5,Abd,0.53,1895,1911,1,pow-prismatic,pow-cylindric
2930,Grasp02931,subject 5,palmar pinch,housekeeping,subject_5_gopro_seg_4.mp4,2048,2113,Pad,Precision,2,Abd,2.17,1917,1982,2,pre-prismatic,pre-pinch
2931,Grasp02932,subject 5,prismatic 2 finger,housekeeping,subject_5_gopro_seg_4.mp4,2117,2273,Pad,Precision,2-3,Abd,5.2,1986,2135,3,pre-prismatic,pre-prismatic
2932,Grasp02933,subject 5,small diameter,housekeeping,subject_5_gopro_seg_4.mp4,2274,2410,Palm,Power,2-5,Abd,4.53,2136,2243,4,pow-prismatic,pow-cylindric
2934,Grasp02935,subject 5,palmar pinch,housekeeping,subject_5_gopro_seg_4.mp4,2620,2678,Pad,Precision,2,Abd,1.93,2440,2498,0,pre-prismatic,pre-pinch
2935,Grasp02936,subject 5,palmar pinch,housekeeping,subject_5_gopro_seg_4.mp4,2750,2802,Pad,Precision,2,Abd,1.73,2570,2620,0,pre-prismatic,pre-pinch
2936,Grasp02937,subject 5,palmar pinch,housekeeping,subject_5_gopro_seg_4.mp4,2826,2870,Pad,Precision,2,Abd,1.47,2644,2688,0,pre-prismatic,pre-pinch
2937,Grasp02938,subject 5,prismatic 2 finger,housekeeping,subject_5_gopro_seg_4.mp4,2893,2951,Pad,Precision,2-3,Abd,1.93,2711,2769,0,pre-prismatic,pre-prismatic
2938,Grasp02939,subject 5,prismatic 2 finger,housekeeping,subject_5_gopro_seg_4.mp4,2974,3015,Pad,Precision,2-3,Abd,1.37,2792,2833,0,pre-prismatic,pre-prismatic
2939,Grasp02940,subject 5,medium wrap,housekeeping,subject_5_gopro_seg_4.mp4,3023,3097,Palm,Power,2-5,Abd,2.47,2841,2910,0,pow-prismatic,pow-cylindric
2941,Grasp02942,subject 5,quadpod,housekeeping,subject_5_gopro_seg_4.mp4,3184,3211,Pad,Precision,2-4,Abd,0.9,2988,3015,0,circular,pre-circular
2943,Grasp02944,subject 5,prismatic 2 finger,housekeeping,subject_5_gopro_seg_4.mp4,4075,4110,Pad,Precision,2-3,Abd,1.17,3856,3891,0,pre-prismatic,pre-prismatic
2944,Grasp02945,subject 5,power sphere,housekeeping,subject_5_gopro_seg_4.mp4,4114,4176,Palm,Power,2-5,Abd,2.07,3895,3954,0,circular,pow-circular
2950,Grasp02951,subject 5,adduction grip,housekeeping,subject_5_gopro_seg_4.mp4,5871,5978,Side,Intermediate,3,Abd,3.57,5453,5529,0,pre-prismatic,pre-pinch
2951,Grasp02952,subject 5,prismatic 3 finger,housekeeping,subject_5_gopro_seg_4.mp4,6024,6123,Pad,Precision,2-4,Abd,3.3,5568,5659,0,pre-prismatic,pre-prismatic
2954,Grasp02955,subject 5,power sphere,housekeeping,subject_5_gopro_seg_4.mp4,6653,6664,Palm,Power,2-5,Abd,0.37,6103,6114,0,circular,pow-circular
2955,Grasp02956,subject 5,lateral tripod,housekeeping,subject_5_gopro_seg_4.mp4,6675,6777,Side,Intermediate,3,Add,3.4,6125,6199,1,int-lateral,int-lateral
2956,Grasp02957,subject 5,power sphere,housekeeping,subject_5_gopro_seg_4.mp4,6683,6793,Palm,Power,2-5,Abd,3.67,6135,6216,2,circular,pow-circular
2957,Grasp02958,subject 5,prismatic 3 finger,housekeeping,subject_5_gopro_seg_4.mp4,6814,6898,Pad,Precision,2-4,Abd,2.8,6231,6315,0,pre-prismatic,pre-prismatic
2958,Grasp02959,subject 5,quadpod,laundry,subject_5_gopro_seg_4.mp4,7451,7463,Pad,Precision,2-4,Abd,0.4,6823,6835,0,circular,pre-circular
2960,Grasp02961,subject 5,lateral,laundry,subject_5_gopro_seg_4.mp4,7624,7765,Side,Intermediate,2-5,Add,4.7,6996,7133,0,int-lateral,int-lateral
2962,Grasp02963,subject 5,lateral tripod,laundry,subject_5_gopro_seg_4.mp4,7870,7985,Side,Intermediate,3,Add,3.83,7238,7331,0,int-lateral,int-lateral
2963,Grasp02964,subject 5,lateral,laundry,subject_5_gopro_seg_4.mp4,7987,8025,Side,Intermediate,2-5,Add,1.27,7333,7370,1,int-lateral,int-lateral
2964,Grasp02965,subject 5,small diameter,laundry,subject_5_gopro_seg_4.mp4,8453,8560,Palm,Power,2-5,Abd,3.57,7740,7847,0,pow-prismatic,pow-cylindric
2965,Grasp02966,subject 5,medium wrap,laundry,subject_5_gopro_seg_4.mp4,9140,9707,Palm,Power,2-5,Abd,18.9,8360,8857,0,pow-prismatic,pow-cylindric
2966,Grasp02967,subject 5,medium wrap,laundry,subject_5_gopro_seg_4.mp4,9979,10000,Palm,Power,2-5,Abd,0.7,9101,9122,0,pow-prismatic,pow-cylindric
2967,Grasp02968,subject 5,adducted thumb,laundry,subject_5_gopro_seg_4.mp4,10003,10175,Palm,Power,2-5,Add,5.73,9125,9287,1,pow-prismatic,pow-oblique
2968,Grasp02969,subject 5,medium wrap,laundry,subject_5_gopro_seg_4.mp4,10177,10597,Palm,Power,2-5,Abd,14.0,9289,9706,2,pow-prismatic,pow-cylindric
2969,Grasp02970,subject 5,medium wrap,laundry,subject_5_gopro_seg_4.mp4,10807,10831,Palm,Power,2-5,Abd,0.8,9903,9925,0,pow-prismatic,pow-cylindric
2970,Grasp02971,subject 5,adducted thumb,laundry,subject_5_gopro_seg_4.mp4,10833,10972,Palm,Power,2-5,Add,4.63,9927,10058,1,pow-prismatic,pow-oblique
2971,Grasp02972,subject 5,medium wrap,laundry,subject_5_gopro_seg_4.mp4,10976,11359,Palm,Power,2-5,Abd,12.77,10062,10401,2,pow-prismatic,pow-cylindric
2972,Grasp02973,subject 5,medium wrap,laundry,subject_5_gopro_seg_4.mp4,11411,11591,Palm,Power,2-5,Abd,6.0,10448,10609,0,pow-prismatic,pow-cylindric
2973,Grasp02974,subject 5,medium wrap,laundry,subject_5_gopro_seg_4.mp4,11664,11679,Palm,Power,2-5,Abd,0.5,10682,10697,0,pow-prismatic,pow-cylindric
2974,Grasp02975,subject 5,adducted thumb,laundry,subject_5_gopro_seg_4.mp4,11681,11747,Palm,Power,2-5,Add,2.2,10699,10761,1,pow-prismatic,pow-oblique
2975,Grasp02976,subject 5,medium wrap,laundry,subject_5_gopro_seg_4.mp4,11749,11770,Palm,Power,2-5,Abd,0.7,10763,10782,2,pow-prismatic,pow-cylindric
2976,Grasp02977,subject 5,adducted thumb,laundry,subject_5_gopro_seg_4.mp4,11775,11901,Palm,Power,2-5,Add,4.2,10787,10890,3,pow-prismatic,pow-oblique
2977,Grasp02978,subject 5,medium wrap,laundry,subject_5_gopro_seg_4.mp4,11902,11939,Palm,Power,2-5,Abd,1.23,10891,10928,4,pow-prismatic,pow-cylindric
2981,Grasp02982,subject 5,medium wrap,laundry,subject_5_gopro_seg_4.mp4,12457,12471,Palm,Power,2-5,Abd,0.47,11397,11409,0,pow-prismatic,pow-cylindric
2982,Grasp02983,subject 5,adducted thumb,laundry,subject_5_gopro_seg_4.mp4,12473,12589,Palm,Power,2-5,Add,3.87,11411,11529,1,pow-prismatic,pow-oblique
2983,Grasp02984,subject 5,medium wrap,laundry,subject_5_gopro_seg_4.mp4,12591,12626,Palm,Power,2-5,Abd,1.17,11531,11566,2,pow-prismatic,pow-cylindric
2984,Grasp02985,subject 5,medium wrap,cooking,subject_5_gopro_seg_4.mp4,12712,12937,Palm,Power,2-5,Abd,7.5,11647,11857,0,pow-prismatic,pow-cylindric
2985,Grasp02986,subject 5,medium wrap,cooking,subject_5_gopro_seg_4.mp4,12713,12937,Palm,Power,2-5,Abd,7.47,11649,11856,0,pow-prismatic,pow-cylindric
2986,Grasp02987,subject 5,adducted thumb,laundry,subject_5_gopro_seg_4.mp4,13034,13081,Palm,Power,2-5,Add,1.57,11950,11985,0,pow-prismatic,pow-oblique
2987,Grasp02988,subject 5,medium wrap,laundry,subject_5_gopro_seg_4.mp4,13082,13208,Palm,Power,2-5,Abd,4.2,11986,12072,1,pow-prismatic,pow-cylindric
2988,Grasp02989,subject 5,medium wrap,laundry,subject_5_gopro_seg_4.mp4,13260,13392,Palm,Power,2-5,Abd,4.4,12123,12250,0,pow-prismatic,pow-cylindric
2989,Grasp02990,subject 5,lateral,laundry,subject_5_gopro_seg_4.mp4,13778,13848,Side,Intermediate,2-5,Add,2.33,0,1,0,int-lateral,int-lateral
2990,Grasp02991,subject 5,lateral tripod,laundry,subject_5_gopro_seg_4.mp4,13897,13951,Side,Intermediate,3,Add,1.8,0,1,0,int-lateral,int-lateral
2991,Grasp02992,subject 5,small diameter,laundry,subject_5_gopro_seg_4.mp4,14059,14265,Palm,Power,2-5,Abd,6.87,0,1,0,pow-prismatic,pow-cylindric
2992,Grasp02993,subject 5,large diameter,housekeeping,subject_5_gopro_seg_5.mp4,76,197,Palm,Power,2-5,Abd,4.03,76,197,0,pow-prismatic,pow-cylindric
2993,Grasp02994,subject 5,prismatic 2 finger,housekeeping,subject_5_gopro_seg_5.mp4,347,366,Pad,Precision,2-3,Abd,0.63,353,372,0,pre-prismatic,pre-prismatic
2994,Grasp02995,subject 5,prismatic 2 finger,housekeeping,subject_5_gopro_seg_5.mp4,376,394,Pad,Precision,2-3,Abd,0.6,382,400,0,pre-prismatic,pre-prismatic
2995,Grasp02996,subject 5,prismatic 2 finger,housekeeping,subject_5_gopro_seg_5.mp4,406,425,Pad,Precision,2-3,Abd,0.63,412,428,0,pre-prismatic,pre-prismatic
2996,Grasp02997,subject 5,prismatic 2 finger,housekeeping,subject_5_gopro_seg_5.mp4,439,456,Pad,Precision,2-3,Abd,0.57,441,455,0,pre-prismatic,pre-prismatic
2997,Grasp02998,subject 5,prismatic 2 finger,housekeeping,subject_5_gopro_seg_5.mp4,470,488,Pad,Precision,2-3,Abd,0.6,441,456,0,pre-prismatic,pre-prismatic
2998,Grasp02999,subject 5,prismatic 2 finger,housekeeping,subject_5_gopro_seg_5.mp4,505,518,Pad,Precision,2-3,Abd,0.43,473,486,0,pre-prismatic,pre-prismatic
3000,Grasp03001,subject 5,small diameter,housekeeping,subject_5_gopro_seg_5.mp4,772,825,Palm,Power,2-5,Abd,1.77,745,794,0,pow-prismatic,pow-cylindric
3001,Grasp03002,subject 5,medium wrap,housekeeping,subject_5_gopro_seg_5.mp4,838,854,Palm,Power,2-5,Abd,0.53,807,823,0,pow-prismatic,pow-cylindric
3002,Grasp03003,subject 5,medium wrap,housekeeping,subject_5_gopro_seg_5.mp4,866,938,Palm,Power,2-5,Abd,2.4,835,904,0,pow-prismatic,pow-cylindric
3003,Grasp03004,subject 5,medium wrap,housekeeping,subject_5_gopro_seg_5.mp4,1034,1984,Palm,Power,2-5,Abd,31.67,1000,1941,0,pow-prismatic,pow-cylindric
3004,Grasp03005,subject 5,small diameter,housekeeping,subject_5_gopro_seg_5.mp4,2108,2225,Palm,Power,2-5,Abd,3.9,2062,2182,0,pow-prismatic,pow-cylindric
3005,Grasp03006,subject 5,medium wrap,housekeeping,subject_5_gopro_seg_5.mp4,2335,2754,Palm,Power,2-5,Abd,13.97,2290,2700,0,pow-prismatic,pow-cylindric
3007,Grasp03008,subject 5,medium wrap,housekeeping,subject_5_gopro_seg_5.mp4,2865,4062,Palm,Power,2-5,Abd,39.9,2807,3983,0,pow-prismatic,pow-cylindric
3011,Grasp03012,subject 7,lateral tripod,cooking,subject_7_gopro_seg_1.mp4,339,355,Side,Intermediate,3,Add,0.53,329,345,0,int-lateral,int-lateral
3013,Grasp03014,subject 7,sphere 3 finger,cooking,subject_7_gopro_seg_1.mp4,2428,2467,Pad,Power,2-3,Abd,1.3,2287,2319,2,circular,pow-circular
3015,Grasp03016,subject 7,index finger extension,cooking,subject_7_gopro_seg_1.mp4,4708,4760,Palm,Power,3-5,Add,1.73,4504,4557,4,pow-prismatic,pow-oblique
3017,Grasp03018,subject 7,adducted thumb,cooking,subject_7_gopro_seg_1.mp4,7093,7207,Palm,Power,2-5,Add,3.8,6853,6956,6,pow-prismatic,pow-oblique
3019,Grasp03020,subject 7,palmar pinch,cooking,subject_7_gopro_seg_1.mp4,7894,7945,Pad,Precision,2,Abd,1.7,7597,7648,8,pre-prismatic,pre-pinch
